_id,identified_companies
1,"['Tesla Motors', 'Xpeng Motors']"
2,[]
3,['XCMG Company']
4,['United Community Banks Ltd.']
5,"['Eventbrite', 'Golden West Food']"
6,['Amazon']
7,['XBiotech']
8,['Kodak']
9,[]
10,"['Minerals Technologies Inc.', 'United Community Banks Ltd.']"
11,[]
12,"['Tiktok', 'Microsft.com']"
13,"['Marvell Technology Group', 'Nvidia']"
14,"['Tiktok', 'Microsft.com']"
15,"['Tiktok', 'Microsft.com']"
16,['Microsft.com']
17,['Nvidia']
18,['Alta Equipment']
19,['Alta Equipment']
20,"['Checkmate Pharmaceuticals', 'Microsft.com']"
21,['Gencor']
22,"['Tiktok', 'Microsft.com']"
23,"['Bridge stone', 'Marvell Technology Group', 'Nvidia', 'Zilliqa Research Pte. Ltd.']"
24,"['Tiktok', 'Microsft.com']"
25,['Amplitude Surgical']
26,"['Tiktok', 'Morgan Stanley Investment banking company', 'Microsft.com']"
27,"['Tiktok', 'Microsft.com']"
28,"['Minerals Technologies Inc.', 'Corsair Capital LLC']"
29,"['Tiktok', 'Microsft.com', 'Editas Medicine']"
30,"['Tiktok', 'Microsft.com']"
31,"['Tiktok', 'Microsft.com']"
32,"['Tiktok', 'Microsft.com']"
33,"['Tiktok', 'Microsft.com']"
34,"['Tiktok', 'Microsft.com']"
35,"['Tiktok', 'Microsft.com']"
36,['Nokia ']
37,"['Sensetime', 'Nvidia']"
38,['Telefónica']
39,"['Compulink Technologies', 'Corsair Capital LLC']"
40,['Microsft.com']
41,"['Franklin Templeton Investments', 'Legg Mason']"
42,[]
43,['XCMG Company']
44,[]
45,[]
46,"['Morgan Stanley Investment banking company', 'Zilliqa Research Pte. Ltd.']"
47,['Checkmate Pharmaceuticals']
48,[]
49,['XCMG Company']
50,[]
51,"['Minerals Technologies Inc.', 'Gencor']"
52,[]
53,"['Catalant', 'Editas Medicine']"
54,['XBiotech']
55,['Minerals Technologies Inc.']
56,['Minerals Technologies Inc.']
57,"['Minerals Technologies Inc.', 'NIH']"
58,['NIH']
59,"['TTM Technologies', 'Bermekimab', 'Minerals Technologies Inc.']"
60,[]
61,"['Compulink Technologies', 'Freshworks']"
62,"['TTM Technologies', 'Compulink Technologies']"
63,['Minerals Technologies Inc.']
64,"['Golden West Food', 'United Community Banks Ltd.']"
65,[]
66,[]
67,[]
68,['Nordea']
69,['Bridge stone']
70,['MSTS']
71,['Nokia ']
72,['Tiktok']
73,[]
74,['Minerals Technologies Inc.']
75,['Dominion']
76,['Dominion']
77,"['Dominion', 'Catalant']"
78,['Amul']
79,[]
80,[]
81,['Fidelity Investments']
82,['United Community Banks Ltd.']
83,[]
84,['Freshworks']
85,['Marvell Technology Group']
86,[]
87,['Fidelity Investments']
88,"[""Domino's Pizza""]"
89,"['Dominion', 'Fidelity Investments']"
90,['Bridge stone']
91,"['Dominion', 'Fidelity Investments', ""Domino's Pizza""]"
92,[]
93,[]
94,"['Marvell Technology Group', 'Corsair Capital LLC']"
95,['Nordea']
96,['Gencor']
97,"['Catalant', 'Corsair Capital LLC']"
98,['United Community Banks Ltd.']
99,[]
100,[]
101,[]
102,"['Marvell Technology Group', ""Domino's Pizza""]"
103,[]
104,[]
105,"['Marvell Technology Group', 'Nordea']"
106,[]
107,['Checkmate Pharmaceuticals']
108,['Eventbrite']
109,['AlloVir']
110,[]
111,"['Minerals Technologies Inc.', 'Corsair Capital LLC']"
112,"['Golden West Food', 'Corsair Capital LLC']"
113,"['Minerals Technologies Inc.', 'Checkmate Pharmaceuticals']"
